1	1	0	535513	7435421							
2	1	1	535324	7436084	1	1	-5413	7	5760	0	14
3	1	2	535325	7436040	1	1	-6649	7	4320	14	42
4	1	3	535878	7435503	1	1	-7013	6	4320	42	70
5	1	4	535905	7435428	1	1	-3791	6	7200	70	149
6	1	0	535513	7435421							
7	1	5	535908	7435428	2	1	-3791	6	7200	0	20
8	1	6	535885	7435468	2	1	-3791	7	7200	20	32
9	1	7	534650	7437293	2	1	-3808	29	7200	32	41
10	1	8	534663	7437186	2	1	-5343	6	5760	41	164
11	1	0	535513	7435421							
12	1	9	538453	7437423	3	1	21	45	7200	0	353
13	1	10	538237	7437542	3	1	98	10	8640	353	363
14	1	11	536003	7436790	3	1	-3868	6	7200	363	372
15	1	12	536489	7436359	3	1	188	6	7200	372	382
16	1	0	535513	7435421							
17	1	13	533721	7438390	4	1	21	5	8640	0	353
18	1	14	534579	7437244	4	1	190	34	8640	353	363
19	1	15	534370	7436445	4	1	-3765	21	7200	363	387
20	1	16	535092	7436131	4	1	-3873	2	7200	387	417
21	1	0	535513	7435421	-1
-1			
