98	5	0	535513	7435421							
99	5	10	534783	7437178	2	0	17	54	0	15553	15556
100	5	11	535918	7435265	2	195	-7111	13	7200	15556	15559
101	5	12	535937	7435286	2	9980	-7138	17	14400	15559	15560
102	5	13	534515	7435792	2	0	137	44	0	15560	15562
103	5	14	534694	7436683	2	9904	-907	32	7200	15562	15564
104	5	15	537233	7437626	2	192	-2510	34	8640	15564	15569
105	5	16	537976	7437250	2	196	-2859	16	8640	15569	15570
106	5	17	538011	7437515	2	319	-1413	3	10080	15570	15570
107	5	18	534704	7436599	2	550	223	8	7899	15570	15574
108	5	19	533891	7438417	2	195	421	21	14400	15574	15576
109	5	20	534154	7438479	2	9916	-889	14	15840	15576	15585
110	5	0	535513	7435421							
111	5	21	536128	7436636	3	9003	-1225	17	8640	13202	13208
112	5	22	535897	7436450	3	501	360	5	8032	13213	13217
113	5	23	534750	7436081	3	501	200	5	7878	13217	13218
114	5	24	534852	7435992	3	9943	118	5	17280	13218	13219
115	5	25	535494	7436324	3	501	197	4	7874	13219	13220
116	5	26	535762	7436530	3	9943	134	5	17280	13220	13223
117	5	27	534612	7435852	3	0	588	7	0	13223	13228
118	5	28	535318	7436849	3	9943	66	2	17280	13228	13229
119	5	29	535386	7436890	3	9916	-960	10	15840	13229	13231
120	5	30	536361	7437112	3	311	420	21	10080	13231	13236
121	5	31	534678	7437395	3	0	692	15	0	13236	13247
122	5	32	524844	7400365	3	0	808	23	0	13247	13341
123	5	0	535513	7435421							
124	5	33	535952	7436091	4	193	-996	10	14400	27023	27035
125	5	34	536243	7436488	4	501	219	5	7895	27047	27057
126	5	35	536111	7436326	4	501	310	5	7908	27057	27058
127	5	36	533680	7438377	4	0	302	16	0	27058	27065
128	5	37	536582	7435340	4	501	197	5	7866	27065	27073
129	5	38	538181	7437661	4	501	371	5	8042	27074	27079
130	5	39	537669	7436877	4	311	-1414	4	8640	27080	27082
131	5	40	538711	7437278	4	501	497	5	8163	27088	27091
132	5	0	535513	7435421							
133	6	0	535513	7435421							
134	6	1	535757	7435631	1	196	-1080	50	14400	14898	14899
135	6	2	535164	7435342	1	193	-4245	5	8640	14899	14900
136	6	3	533721	7438390	1	196	-2521	43	10080	14900	14909
137	6	4	535310	7436220	1	192	-2363	19	10080	14909	14911
138	6	5	535042	7436038	1	196	-2508	5	10080	14911	14912
139	6	0	535513	7435421							
140	6	6	538776	7437255	2	9913	-2712	21	25920	15590	15592
141	6	7	534102	7438438	2	0	103	12	0	15592	15599
142	6	8	534486	7436855	2	9916	138	6	18720	15599	15602
