1	1	0	1	-8.0652249	-34.899	-8.0650363	-34.8986969	14	1
2	1	0	2	-8.0652249	-34.899	-8.0656856	-34.8989249	61	1
3	1	0	3	-8.0652249	-34.899	-8.0656787	-34.8991297	78	1
4	1	0	4	-8.0652249	-34.899	-8.0650068	-34.8992048	25	1
5	1	0	5	-8.0652249	-34.899	-8.0649882	-34.8991136	20	1
6	1	0	6	-8.0652249	-34.899	-8.0649537	-34.8990144	8	1
7	1	0	7	-8.0652249	-34.899	-8.0649298	-34.8988986	10	1
8	1	0	8	-8.0652249	-34.899	-8.0651117	-34.8988423	120	1
9	1	0	9	-8.0652249	-34.899	-8.0643907	-34.8987592	353	4
10	1	0	10	-8.0652249	-34.899	-8.0643854	-34.8986519	356	4
11	1	0	11	-8.0652249	-34.899	-8.0643986	-34.8985338	403	5
12	1	0	12	-8.0652249	-34.899	-8.0640481	-34.8984534	356	4
13	1	0	13	-8.0652249	-34.899	-8.0640401	-34.8983568	353	4
14	1	0	14	-8.0652249	-34.899	-8.0640481	-34.8982147	356	4
15	1	0	15	-8.0652249	-34.899	-8.0642101	-34.8980564	315	4
16	1	0	16	-8.0652249	-34.899	-8.0636657	-34.8981476	400	5
17	1	1	0	-8.0650363	-34.8986969	-8.0652249	-34.899	14	1
18	1	1	2	-8.0650363	-34.8986969	-8.0652249	-34.899	28	1
19	1	1	3	-8.0650363	-34.8986969	-8.0652249	-34.899	95	1
20	1	1	4	-8.0650363	-34.8986969	-8.0652249	-34.899	40	1
21	1	1	5	-8.0650363	-34.8986969	-8.0652249	-34.899	33	1
22	1	1	6	-8.0650363	-34.8986969	-8.0652249	-34.899	14	1
23	1	1	7	-8.0650363	-34.8986969	-8.0652249	-34.899	13	1
24	1	1	8	-8.0650363	-34.8986969	-8.0652249	-34.899	99	1
25	1	1	9	-8.0650363	-34.8986969	-8.0652249	-34.899	353	4
26	1	1	10	-8.0650363	-34.8986969	-8.0652249	-34.899	356	4
27	1	1	11	-8.0650363	-34.8986969	-8.0652249	-34.899	353	4
28	1	1	12	-8.0650363	-34.8986969	-8.0652249	-34.899	406	5
29	1	1	13	-8.0650363	-34.8986969	-8.0652249	-34.899	353	4
30	1	1	14	-8.0650363	-34.8986969	-8.0652249	-34.899	356	4
31	1	1	15	-8.0650363	-34.8986969	-8.0652249	-34.899	365	4
32	1	1	16	-8.0650363	-34.8986969	-8.0652249	-34.899	350	4
33	1	2	0	-8.0656856	-34.8989249	-8.0652249	-34.899	61	1
34	1	2	1	-8.0656856	-34.8989249	-8.0650363	-34.8986969	28	1
35	1	2	3	-8.0656856	-34.8989249	-8.0656787	-34.8991297	18	1
36	1	2	4	-8.0656856	-34.8989249	-8.0650068	-34.8992048	67	1
37	1	2	5	-8.0656856	-34.8989249	-8.0649882	-34.8991136	59	1
38	1	2	6	-8.0656856	-34.8989249	-8.0649537	-34.8990144	44	1
39	1	2	7	-8.0656856	-34.8989249	-8.0649298	-34.8988986	52	1
40	1	2	8	-8.0656856	-34.8989249	-8.0651117	-34.8988423	92	1
41	1	2	9	-8.0656856	-34.8989249	-8.0643907	-34.8987592	312	4
42	1	2	10	-8.0656856	-34.8989249	-8.0643854	-34.8986519	315	4
43	1	2	11	-8.0656856	-34.8989249	-8.0643986	-34.8985338	312	4
44	1	2	12	-8.0656856	-34.8989249	-8.0640481	-34.8984534	412	5
45	1	2	13	-8.0656856	-34.8989249	-8.0640401	-34.8983568	362	4
46	1	2	14	-8.0656856	-34.8989249	-8.0640481	-34.8982147	315	4
47	1	2	15	-8.0656856	-34.8989249	-8.0642101	-34.8980564	324	4
48	1	2	16	-8.0656856	-34.8989249	-8.0636657	-34.8981476	409	5
49	1	3	0	-8.0656787	-34.8991297	-8.0652249	-34.899	78	1
50	1	3	1	-8.0656787	-34.8991297	-8.0650363	-34.8986969	95	1
51	1	3	2	-8.0656787	-34.8991297	-8.0656856	-34.8989249	18	1
52	1	3	4	-8.0656787	-34.8991297	-8.0650068	-34.8992048	79	1
53	1	3	5	-8.0656787	-34.8991297	-8.0649882	-34.8991136	92	1
54	1	3	6	-8.0656787	-34.8991297	-8.0649537	-34.8990144	91	1
55	1	3	7	-8.0656787	-34.8991297	-8.0649298	-34.8988986	91	1
56	1	3	8	-8.0656787	-34.8991297	-8.0651117	-34.8988423	100	1
57	1	3	9	-8.0656787	-34.8991297	-8.0643907	-34.8987592	353	4
58	1	3	10	-8.0656787	-34.8991297	-8.0643854	-34.8986519	356	4
59	1	3	11	-8.0656787	-34.8991297	-8.0643986	-34.8985338	353	4
60	1	3	12	-8.0656787	-34.8991297	-8.0640481	-34.8984534	456	6
61	1	3	13	-8.0656787	-34.8991297	-8.0640401	-34.8983568	353	4
62	1	3	14	-8.0656787	-34.8991297	-8.0640481	-34.8982147	356	4
63	1	3	15	-8.0656787	-34.8991297	-8.0642101	-34.8980564	365	4
64	1	3	16	-8.0656787	-34.8991297	-8.0636657	-34.8981476	400	4
65	1	4	0	-8.0650068	-34.8992048	-8.0652249	-34.899	25	1
66	1	4	1	-8.0650068	-34.8992048	-8.0650363	-34.8986969	40	1
67	1	4	2	-8.0650068	-34.8992048	-8.0656856	-34.8989249	67	1
68	1	4	3	-8.0650068	-34.8992048	-8.0656787	-34.8991297	79	1
69	1	4	5	-8.0650068	-34.8992048	-8.0649882	-34.8991136	9	1
70	1	4	6	-8.0650068	-34.8992048	-8.0649537	-34.8990144	15	1
71	1	4	7	-8.0650068	-34.8992048	-8.0649298	-34.8988986	21	1
